Q2283, P100, Q161959
Q2283, P133, Q5082128
Q1763845, P127, Q2283
Q242345, P109, Q100774275
Q6030911, P174, Q42770140
Q2283, P153, Q22078063
Q2283, P133, Q155972
Q483551, P153, Q2283
Q2283, P143, Q37595001
Q2283, P134, Q57380148
Q13677, P142, Q50335907
Q456157, P109, Q5465
Q2283, P164, Q943091
Q2283, P100, Q828814
Q37158, P153, Q2283
Q242345, P109, Q100774275
Q801, P118, Q2283
Q2283, P105, Q2798820
Q2283, P111, Q28
Q132020, P165, Q12055605
Q2283, P141, Q1172506
Q458, P161, Q2283
Q2283, P133, Q100801055
Q242345, P109, Q100718154
Q11991268, P121, Q2283
Q552581, P153, Q2283
Q246, P153, Q2283
Q162005, P173, Q12078
Q2283, P101, Q28444691
Q2283, P148, Q2249548
Q2283, P109, Q483639
Q162005, P129, Q12078
Q2283, P109, Q850210
Q13677, P109, Q2283
Q37156, P100, Q485593
Q1046482, P100, Q725967
Q18359118, P150, Q2283
Q2283, P112, Q30
Q420822, P116, Q725967
Q801, P109, Q2283
Q2283, P100, Q59608476
Q2283, P106, Q312
Q11201, P162, Q2283
Q2283, P133, Q43627
Q2283, P100, Q92296582
Q2283, P133, Q100741418
Q2283, P118, Q783794
